number_of_vehicles,number_of_casualties,day_of_week,time,local_authority_district,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,road_surface_conditions,urban_or_rural_area,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_home_area_type,casualty_imd_decile,Year,Month,Day,wind_conditions,weather_conditions_Fine,weather_conditions_Fog or mist,weather_conditions_Other,weather_conditions_Raining,weather_conditions_Snowing,casualty_type_Car driver,casualty_type_Car front seat passenger,casualty_type_Car rear seat passenger,casualty_type_Cyclist,casualty_type_Goods vehicle driver,casualty_type_Goods vehicle passenger,casualty_type_Motorcycle passenger,casualty_type_Motorcycle rider,casualty_type_Other vehicle occupant,casualty_type_Pedestrian,casualty_type_Public transport driver,casualty_type_Public transport passenger
2,3,5,11,3,30,0,0,0,0,0,0,10,0,0,5,2022,8,13,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,3,5,11,3,30,0,0,0,0,0,0,10,0,0,5,2022,8,13,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,0,15,3,30,0,0,0,0,0,0,6,0,0,0,2020,12,7,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,3,20,3,30,0,0,1,0,0,1,7,0,1,0,2021,4,29,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,3,20,3,30,0,0,1,0,0,1,7,0,1,0,2021,4,29,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,2,11,3,30,0,1,0,0,0,0,9,0,0,5,2021,3,31,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,1,3,23,3,30,0,0,1,0,0,1,7,0,1,0,2018,7,26,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,4,15,2,30,1,0,0,0,0,0,7,0,0,2,2021,3,19,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,1,16,2,30,0,0,0,0,0,1,1,0,0,2,2019,8,13,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,1,3,15,0,60,1,0,0,0,1,0,5,1,1,0,2022,6,23,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,4,9,3,30,0,1,0,0,0,1,5,0,1,0,2019,10,18,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,5,20,1,30,1,0,0,0,0,0,4,0,0,3,2019,6,15,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,5,20,1,30,1,0,0,0,0,0,4,0,0,3,2019,6,15,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,1,0,15,2,50,1,0,0,0,1,0,5,1,0,2,2019,3,25,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,1,1,14,0,50,0,0,0,0,1,1,8,0,1,0,2020,8,11,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,1,1,12,2,30,0,0,0,0,0,1,8,0,0,5,2021,6,22,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,1,4,10,1,40,0,0,0,0,0,1,8,0,1,4,2022,7,8,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
